person_age,person_income,person_home_ownership,person_emp_length,cb_person_default_on_file,cb_person_cred_hist_length,age_group,has_prior_default
20,26424,MORTGAGE,6.0,N,10,18-25,0
24,43769,RENT,1.6,N,3,18-25,0
23,123826,MORTGAGE,3.3,N,4,18-25,0
33,148025,MORTGAGE,2.4,N,8,26-35,0
32,38861,MORTGAGE,0.2,N,4,26-35,0
22,139753,RENT,1.8,N,3,18-25,0
27,49042,RENT,1.2,N,10,26-35,0
20,29316,MORTGAGE,0.9,N,10,18-25,0
23,33868,RENT,8.8,N,3,18-25,0
23,169910,MORTGAGE,1.6,Y,6,18-25,1
22,73546,MORTGAGE,3.3,N,2,18-25,0
29,25238,MORTGAGE,0.4,N,5,26-35,0
35,100860,RENT,6.2,N,8,26-35,0
26,103667,RENT,0.2,N,10,26-35,0
20,36656,RENT,1.6,N,5,18-25,0
28,67975,MORTGAGE,1.5,N,9,26-35,0
28,132265,RENT,0.4,Y,6,26-35,1
25,21756,MORTGAGE,0.6,Y,3,18-25,1
38,13794,MORTGAGE,1.7,N,3,36-45,0
28,30585,MORTGAGE,14.8,N,4,26-35,0
30,14315,MORTGAGE,3.6,N,7,26-35,0
18,20501,RENT,2.9,N,5,18-25,0
21,109077,MORTGAGE,1.2,N,4,18-25,0
30,27109,RENT,4.5,N,1,26-35,0
28,46748,RENT,14.3,N,7,26-35,0
24,81432,RENT,1.2,N,10,18-25,0
29,112384,RENT,1.0,N,6,26-35,0
32,62562,RENT,13.1,N,1,26-35,0
24,10967,RENT,8.0,N,4,18-25,0
23,47264,RENT,2.2,N,7,18-25,0
25,83901,RENT,3.1,Y,7,18-25,1
29,55111,RENT,7.3,N,4,26-35,0
23,71931,RENT,2.2,N,4,18-25,0
32,30607,RENT,6.3,N,2,26-35,0
24,52373,RENT,1.2,N,6,18-25,0
23,77857,OWN,1.4,N,3,18-25,0
41,132941,RENT,2.9,N,7,36-45,0
19,31360,OWN,1.0,Y,7,18-25,1
31,30881,RENT,7.2,N,4,26-35,0
18,148448,MORTGAGE,0.4,Y,3,18-25,1
30,38705,MORTGAGE,1.0,N,4,26-35,0
43,57290,RENT,5.1,Y,7,36-45,1
33,58907,RENT,2.9,N,2,26-35,0
35,48860,RENT,0.1,N,5,26-35,0
26,190934,RENT,2.4,N,2,26-35,0
32,41755,RENT,2.8,N,4,26-35,0
28,85268,MORTGAGE,2.3,N,4,26-35,0
39,36598,MORTGAGE,3.9,N,11,36-45,0
20,180911,OWN,0.9,N,6,18-25,0
34,27588,RENT,2.1,N,3,26-35,0
29,75572,MORTGAGE,1.0,Y,4,26-35,1
21,9510,RENT,2.0,N,2,18-25,0
25,39913,MORTGAGE,0.6,N,7,18-25,0
18,72382,MORTGAGE,3.1,N,5,18-25,0
18,17732,MORTGAGE,1.0,Y,6,18-25,1
19,37752,RENT,7.2,N,4,18-25,0
24,461045,RENT,5.0,N,2,18-25,0
27,23199,RENT,0.1,N,6,26-35,0
